,HSCIIT Index,HSCIH Index,HSCIEN Index,HSCICD Index,HSCIPC Index,HSCIFN Index,HSCIMT Index,HSCICS Index,HSCIUT Index,HSCITC Index,HSCIIN Index
2017-12-22,0.0003522242815881915,0.00033657678212419673,0.00048628824965887206,0.0002859721055960956,0.000512116525347341,0.0004434335671455275,0.0005892296484797895,0.00017423633565759924,0.0002792549180372886,0.0002084764795654486,0.0005824719822788428
2018-01-19,0.0004199198848494782,0.00040586219278851036,0.0005563684093326334,0.0003197464833396387,0.0005617714800001155,0.0004827211016486304,0.0006754299539763455,0.00019268760009877035,0.0002927645163983485,0.00021765790824461995,0.0006233697845744562
2018-02-16,0.0005475659302538832,0.0004670181058183239,0.0007723404368405306,0.00038976932082967233,0.0007051491026986818,0.000626035860655966,0.0008732292455873899,0.00025005278939295493,0.00035447437570297337,0.00035274938843453374,0.0007158105925933388
2018-03-16,0.0002685458956692695,0.00016803630148818762,0.000513023989886332,0.0002101979643259623,0.00043012225253579,0.0003546466854134253,0.0005133661862906141,0.00013213306151374225,0.00022199464642996263,0.00026338879295776947,0.0004178442252187708
2018-04-13,0.00024520359777885413,9.573575369902751e-05,0.00039284932571834966,0.00015582076173890658,0.0003505982391938659,0.0002977445177431424,0.00037937630442670553,7.132405587116059e-05,0.0001720226326743675,0.00018351886062806282,0.00032151322422236496
2018-05-11,0.0001856125561638102,5.551109627796249e-05,0.00019846886013347146,0.00014144826613346443,0.00021901097519280789,0.0001640552159707034,0.00024606780164073956,0.00011504694355967291,0.00012609674802124514,0.00018301014969127096,0.0001682610397127264
2018-06-08,0.00019817641999376936,7.89998559082527e-05,0.00022530953237666262,0.0001465543171739426,0.00025474527753521065,0.00017330243747969317,0.0002657257139637266,0.0001172829789261111,0.0001340694639125641,0.00020971106240526331,0.00018340810530863708
2018-07-06,0.0001857071697907962,7.012165468495097e-05,0.00020346100351979396,0.00015628083583688017,0.0002663924910231363,0.00017271271532614307,0.00025933615657321125,0.00011199485022308437,0.00011947001018437898,0.0002000844851529938,0.00015906324918339406
2018-08-03,0.00019515352603129092,5.5225646224183405e-05,0.00021325921725160775,0.00017010548904838822,0.00029987120174740074,0.0001825120299512863,0.0002513336455540465,0.00011820330296712747,0.00013788095337169916,0.00024141483860479546,0.00016000136556879513
2018-08-31,0.00018351198485647667,1.8735246792536114e-05,0.0002484205127753035,0.00010563464844785853,0.0003657784200401895,0.00012873561877904094,0.00024154409328267152,1.9704712999849333e-05,0.0001811349770219275,0.00020603939136517284,0.00014261464379453138
2018-09-28,0.0001286454239406731,0.00012560350941438146,0.00024937622811089616,0.00018120424355257527,0.0003762789032660436,0.0001831089762009237,0.0003305045919680355,0.00012321780420678895,0.0002011194396071066,0.00018554098945252565,0.0002000382054866077
2018-10-26,8.954898518831234e-05,7.64459490780962e-05,0.00012658215008673295,0.00011745348109407991,0.0002043180474800424,8.848523711346488e-05,0.0001835165603821539,8.16776034475406e-05,8.562323238709247e-05,9.333042115418283e-05,0.00011665600080747543
2018-11-23,-3.1418982633316854e-05,2.4037215532016192e-05,0.00017258594078843365,5.2537254902179315e-05,0.00021831368317569704,5.378946616872566e-05,0.000194436615893817,2.9649423549813325e-05,7.454042864933521e-05,0.00010480372909589366,8.129715120128097e-05
2018-12-21,-2.036045840619234e-05,4.891309864862375e-05,0.00021449231751961576,8.121986535170657e-05,0.0002848762884086305,8.160262946639667e-05,0.00026406499014458237,1.2934582748465103e-05,0.00011768657017992744,0.00014627611494126696,8.176185864603759e-05
2019-01-18,-0.00015731432891273597,-0.00010484838535174525,9.369819100426165e-05,-4.015094671918401e-05,0.00023331564675612942,-3.0463058798542013e-05,0.00018955818330770473,-0.00015756371630385433,5.828634548269122e-05,0.0001405479994357188,-6.908442984154096e-05
2019-02-15,-0.0002204863137824026,-0.00018337925645646878,0.00011004208777929759,-4.264554092389672e-05,0.00028404249534218765,-9.106392796339306e-05,0.0002709667055666021,-0.0002379844733832713,3.20713916771353e-05,0.00021344590762998036,-9.439212624782295e-05
2019-03-15,-0.00016893098172553563,-8.026415609459205e-05,0.00020277652863673164,5.336459264609759e-05,0.0003970412093912914,1.7688948492024792e-06,0.00041286230686559777,-0.00015810732668316828,9.328099087459735e-05,0.00025438449592495206,1.3055412906466962e-05
2019-04-12,-0.00015645143462412157,-2.9943764546333785e-05,0.00020663074586309185,0.00011350539842246655,0.0003897927596416606,3.213748019287521e-05,0.0005359996172042238,-0.00014136661604523566,4.354582102333376e-05,0.00023265294195125202,6.139777233697889e-05
2019-05-10,-0.0001255702969596141,1.147142447525163e-05,0.00016390006048942152,0.00010085042339148822,0.00037466967513657924,-5.572357815528298e-06,0.0005087028286822141,-0.00016001119350872212,7.738911791109217e-05,0.00021507691546517301,7.240039801149012e-05
2019-06-07,1.9876749022688516e-05,6.974538467523446e-05,0.00016309028076686463,0.0001612588509858,0.0003184630076973556,1.9678053476064533e-05,0.00043551053323776255,-0.00011800730843993532,3.69597202525117e-05,0.0001861729428441519,9.816352712032969e-05
2019-07-05,-2.9029151703241182e-05,9.851335937838784e-05,0.00012993542865846823,0.0001986462733491526,0.00035926027058900983,1.1773306441044505e-06,0.0005149788651205981,-0.00013567508384871015,2.2732971941183646e-05,0.00014583870663217416,0.00012665205447288765
